run_id,mol_id,condition,guidance_scale,seed,smiles,valid,connected,ifp_tanimoto,ifp_tversky,hinge_hbond,qed,sa_score,n_heavy_atoms,posebusters_valid,posebusters_fail_reasons,vina_score,ligand_efficiency
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0001,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0002,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.14285714285714285,0.14285714285714285,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0003,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0004,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0005,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0006,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.14285714285714285,0.14285714285714285,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0007,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.0,0.0,0,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0008,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0009,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0010,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0011,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.14285714285714285,0.14285714285714285,0,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0012,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.14285714285714285,0.14285714285714285,0,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0013,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.07142857142857142,0.07142857142857142,0,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0014,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.07142857142857142,0.07142857142857142,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0015,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.0,0.0,0,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0016,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0017,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.14285714285714285,0.14285714285714285,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0018,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.14285714285714285,0.14285714285714285,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0019,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.35714285714285715,0.35714285714285715,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0020,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.35714285714285715,0.35714285714285715,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0021,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.07142857142857142,0.07142857142857142,0,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0022,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.35714285714285715,0.35714285714285715,1,,,,,,,
2026-09-18-6fnk-s0-n100-r3,2026-09-18-6fnk-s0-n100-r3-0023,,0.0,3,[H]c1nc([H])c(-c2nc(N([H])[H])c3c([H])nn(C([H])([H])[H])c3n2)c([H])c1[H],1,1,0.21428571428571427,0.21428571428571427,0,,,,,,,
