run_id,mol_id,condition,guidance_scale,seed,smiles,valid,connected,ifp_tanimoto,ifp_tversky,hinge_hbond,qed,sa_score,n_heavy_atoms,posebusters_valid,posebusters_fail_reasons,vina_score,ligand_efficiency
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0001,pocket-ref-ligand,0.0,0,[H]ON(C([H])([H])C([H])([H])[H])[C@@]1([H])N=C(C([H])([H])C([H])([H])[H])SN1C([H])([H])C(=O)C([H])=C([H])c1c([H])c([H])c([H])c(N(C([H])([H])[H])[C@]2([H])C([H])([H])[C@@]2([H])C2=NN([H])ON2[H])c1[H],1,1,0.2727272727272727,0.35294117647058826,0,0.2758753047505092,8.508472437391573,32,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0002,pocket-ref-ligand,0.0,0,[H]c1nc2c(C(=O)C([H])([H])[N+]([H])([H])[H])c([H])c([H])c-2c2c(c([H])nc3nc(C([H])([H])[H])oc32)c1[H],1,1,0.35294117647058826,0.35294117647058826,1,0.5662526156312625,6.925018542924577,22,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0003,pocket-ref-ligand,0.0,0,[H]O[C@]1([H])OC([H])([H])c2c(nc(Cl)c([H])c2[H])[C@]([H])(c2c([H])c([H])nc([H])c2[H])[C@@]2([H])N1C2([H])[H],1,1,0.3333333333333333,0.35294117647058826,1,0.6423695557610218,7.092730548792573,21,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0004,pocket-ref-ligand,0.0,0,[H]c1nnc([H])c(-c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c1[H],1,1,0.5882352941176471,0.5882352941176471,1,0.7203902948836506,7.10125315138456,14,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0005,pocket-ref-ligand,0.0,0,[H]c1nc([H])c([H])c(-c2c([H])nc3c(c2[H])c(C([H])([H])[N+]([H])([H])[H])c([H])n3[H])c1[H],1,1,0.35294117647058826,0.35294117647058826,1,0.6911535969319956,7.483477229541387,17,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0006,pocket-ref-ligand,0.0,0,[H]C1=NC(=O)[C@]([H])(F)c2c1c(C1=C([H])C([H])([H])N=N1)c([H])c1c2N([H])C(=O)[C@]([H])(C2=NN=C([H])C2([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])OC(=O)C1([H])[H],1,1,0.3157894736842105,0.35294117647058826,1,0.6933548163601952,7.915119602289415,33,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0007,pocket-ref-ligand,0.0,0,[H]N=C([H])OC([H])([H])[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[C@]1([H])C(=O)c2c(C([H])([H])[H])c(O[H])c([H])c3c([H])c([H])c([H])c(c23)N1[H],1,1,0.42105263157894735,0.47058823529411764,1,0.5557185223161235,7.813893394781236,24,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0008,pocket-ref-ligand,0.0,0,[H]C1=C2N=NC(C([H])([H])[H])=C2C([H])=C1[C@@]1([H])N([H])N([C@@]2([H])SC([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],1,1,0.35294117647058826,0.35294117647058826,1,0.8465749408463217,7.783007640677724,20,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0009,pocket-ref-ligand,0.0,0,[H]Oc1c([H])c([H])c2ooc3c(nc([H])c4c3c(C([H])([H])[H])c([H])c(=O)n4[H])c([H])c([H])c2c1[H],1,1,0.5882352941176471,0.5882352941176471,1,0.48455036528862044,7.049420082856218,23,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0010,pocket-ref-ligand,0.0,0,[H]N(C(=O)C([H])([H])C(=O)[O-])C([H])([H])C(=O)[O-],1,1,0.17647058823529413,0.17647058823529413,1,0.42008388555369874,6.176377625145903,11,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0011,pocket-ref-ligand,0.0,0,[H]C1=C([H])C([H])([H])C([H])=C([H])c2c1c(-c1c([H])c([H])nc(N([H])[H])c1F)nn2[H],1,1,0.3333333333333333,0.35294117647058826,1,0.8072856504282527,7.105101844598149,18,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0012,pocket-ref-ligand,0.0,0,[H]C([H])([H])C([H])([H])[H].[H]C1=C([H])C(N2C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])=C([H])[C@]([H])(c2nc([H])c([H])c3nc(C([H])([H])[H])n([H])c23)C1=O,1,0,0.0,0.0,0,0.8594723335992588,7.167182570434881,26,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0013,pocket-ref-ligand,0.0,0,[H]C1=C(OC2=NC2([H])[H])C([H])=C(C2=Nc3c(n([H])c([H])nc3=S)[C@@]2([H])Cl)C([H])([H])C1=O,1,1,0.23529411764705882,0.23529411764705882,1,0.6667417179291134,7.003638312983295,22,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0014,pocket-ref-ligand,0.0,0,[H]N([H])C1=NC2=C(S[C@]([H])(C([H])([H])C([H])([H])C(=O)[O-])S2)[C@]([H])(C([H])([H])[H])N1C([H])([H])[H],1,1,0.47058823529411764,0.47058823529411764,1,0.7867946925508684,6.573236838503988,17,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0015,pocket-ref-ligand,0.0,0,[H]O[C@]1([H])N([H])C(=O)N=C(c2sc([H])c3c2C([H])=C([H])[C@@]2([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C3([H])[H])C1([H])[H],1,1,0.3157894736842105,0.35294117647058826,1,0.8220228869273853,7.704272398004277,24,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0016,pocket-ref-ligand,0.0,0,[H]N([H])C(=O)C(=O)[C@@]([H])(C(=O)[O-])N([H])F.[H]c1nc(SC([H])([H])[H])c(N([H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])OC([H])([H])C([H])([H])[H])s1,1,0,0.17647058823529413,0.17647058823529413,1,0.21459608244609907,7.828793064658679,27,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0017,pocket-ref-ligand,0.0,0,[H]OO[C@@]1([H])OC([H])([H])C([H])=C(N([H])C2=NC3=C(C2=C([H])C(=O)[O-])[C@@]2(C([H])([H])[H])OC([H])([H])[C@]([H])(N=C(C(=O)[O-])C(F)(F)[C@@]([H])(O[H])OC([H])([H])[H])[C@]2([H])C3([H])[H])C([H])([H])[C@@]1([H])S[H],1,1,0.4117647058823529,0.4117647058823529,1,0.06459468752683559,8.515398648652093,39,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0018,pocket-ref-ligand,0.0,0,[H]O[C@@]12[C@]([H])(C([H])([H])C3=C4C([H])=C([H])C([H])=C([H])[C@]4([H])N=C3[H])[C@@]1([N+]([H])([H])[H])[N+]2([H])[H],1,1,0.1111111111111111,0.11764705882352941,0,0.4635856494669754,8.260079941061461,16,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0019,pocket-ref-ligand,0.0,0,[H]C1=NC(=O)[C@@]([H])(Cl)C(c2c([H])nn3c(=O)n(C([H])([H])[H])c(OC([H])=C([H])[H])nc23)=C1[H],1,1,0.2222222222222222,0.23529411764705882,1,0.608481018102123,6.898156194223544,22,,,,
2026-08-24-6tgu-s0-n20-refligand,2026-08-24-6tgu-s0-n20-refligand-0020,pocket-ref-ligand,0.0,0,[H]Oc1c([H])c([H])c2c(c1[H])C1=C([H])C3=NN=C(C([H])([H])[H])C3=C1[N+]([H])([H])C([H])([H])[C@]([H])([N+]([H])([H])[H])N2[H],1,1,0.3333333333333333,0.35294117647058826,1,0.47926504447703483,7.071254203004158,21,,,,
